problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;135.0;50506156.0;0.0;0.003412008285522461;0.2059159278869629;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;254.0;55793192.0;0.0;0.0027441978454589844;0.2223813533782959;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;9;300.0;52351369.0;0.0;0.002719879150390625;0.6818487644195557;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;157.0;53512185.0;0.0;0.0027070045471191406;0.1999650001525879;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;264.0;54557741.0;0.0;0.0027091503143310547;0.2276780605316162;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;262.0;54651088.0;0.0;0.002707958221435547;0.5939629077911377;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;192.0;55756839.0;0.0;0.0027239322662353516;0.2301037311553955;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;212.0;46359380.0;0.0;0.0026879310607910156;0.24828290939331055;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;260.0;55297989.0;0.0;0.0027022361755371094;0.6156244277954102;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;5;126.0;51813116.0;0.0;0.0027008056640625;0.2265636920928955;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;218.0;48747350.0;0.0;0.0026891231536865234;0.2579793930053711;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;8;286.0;54005203.0;0.0;0.002691030502319336;0.6586291790008545;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;5;114.0;54024543.0;0.0;0.0027120113372802734;0.22695016860961914;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;248.0;54507194.0;0.0;0.0027740001678466797;0.3479580879211426;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;237.0;54419580.0;0.0;0.0026938915252685547;0.6279218196868896;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;140.0;54892414.0;0.0;0.0026938915252685547;0.22807979583740234;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;264.0;54557741.0;0.0;0.0027000904083251953;0.258713960647583;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;265.0;55212478.0;0.0;0.002694845199584961;0.6477136611938477;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;319.0;108773177.0;0.0;0.0026922225952148438;0.24971222877502441;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;463.0;108865284.0;0.0;0.0026950836181640625;0.3527560234069824;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;492.0;110113228.0;0.0;0.002691984176635742;0.934689998626709;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;298.0;107319979.0;0.0;0.0027861595153808594;0.2546422481536865;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;468.0;102204476.0;0.0;0.002805948257446289;0.32893896102905273;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;494.0;108545914.0;0.0;0.002708911895751953;0.9699409008026123;
