problem;instance_file_id;instance_file;no_instances;max_score;opt_no_routes;no_routes;ns;ns_size;ns_insert_size;ns_select_criteria;init_mode;init_select_mode;ls;ls_size;ls_improve_criteria;ls_select_criteria;init_max_iterations;shake_max_iterations;ls_max_iterations;vns_max_iterations;no_visited_pois;score;travel_time;wait_time;loading_time;run_time;info
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;5;136.0;47993414.0;0.0;0.00347900390625;0.19687819480895996;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;250.0;52204294.0;0.0;0.0026688575744628906;0.21863174438476562;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;8;300.0;52998500.0;0.0;0.002663135528564453;0.6100451946258545;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;129.0;51131734.0;0.0;0.0026590824127197266;0.1973133087158203;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;251.0;52439002.0;0.0;0.002629995346069336;0.21683287620544434;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;9;276.0;51871057.0;0.0;0.002660036087036133;0.6504378318786621;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;139.0;51147248.0;0.0;0.0026531219482421875;0.2246849536895752;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;255.0;55232502.0;0.0;0.0026540756225585938;0.25261592864990234;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;253.0;53491209.0;0.0;0.0026428699493408203;0.599984884262085;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;129.0;48907793.0;0.0;0.0026540756225585938;0.2222127914428711;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;254.0;56373100.0;0.0;0.002727985382080078;0.2458629608154297;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;231.0;54664448.0;0.0;0.0026140213012695312;0.5882689952850342;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;158.0;50222156.0;0.0;0.002656698226928711;0.22298073768615723;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;269.0;55190751.0;0.0;0.002733945846557617;0.3416917324066162;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;247.0;54631035.0;0.0;0.0026559829711914062;0.6015841960906982;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;6;174.0;56490167.0;0.0;0.0026559829711914062;0.22046899795532227;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;269.0;55368800.0;0.0;0.002640962600708008;0.3594787120819092;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;1;Replace;3;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;7;237.0;55074245.0;0.0;0.0026450157165527344;0.6179723739624023;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;352.0;102787133.0;0.0;0.0026259422302246094;0.24239397048950195;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;12;420.0;103948655.0;0.0;0.002685070037841797;0.3889272212982178;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;15;521.0;110450764.0;0.0;0.0026602745056152344;0.975060224533081;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;275.0;100198342.0;0.0;0.002644062042236328;0.23853230476379395;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;421.0;103446497.0;0.0;0.0026171207427978516;0.3013150691986084;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;1;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;492.0;109414462.0;0.0;0.002646923065185547;0.9101929664611816;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;11;227.0;102443380.0;0.0;0.002655029296875;0.26667213439941406;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;448.0;103107832.0;0.0;0.00263214111328125;0.30943822860717773;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;493.0;109192407.0;0.0;0.002650022506713867;0.9765059947967529;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;Random;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;344.0;105429719.0;0.0;0.0026350021362304688;0.27072906494140625;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;HillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;447.0;111780821.0;0.0;0.0026459693908691406;0.40249013900756836;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;2;1;ClosestFirst;StochasticHillClimbing;Random;2-OptInsert;1;FirstImprovement;BestFirst;10;10;10;100;16;503.0;108573098.0;0.0;0.002621173858642578;1.0229582786560059;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;Random;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;14;318.0;100388217.0;0.0;0.0026559829711914062;0.27202701568603516;
TOPTW;Verbeck-5;50.3.2.TXT;49;1182.0;;2;Replace;3;1;ClosestFirst;HillClimbing;Random;SwapInsert;1;FirstImprovement;BestFirst;10;10;10;100;13;428.0;104651586.0;0.0;0.0026459693908691406;0.3413848876953125;
